id,comment_num,like_num,repost_num
1079,20,42,13
1080,6,18,13
1081,20,?,?
1082,93,447,197
1083,2,?,?
1084,4,15,2
1085,6,?,?
1086,10,39,0
1087,7,?,?
1088,0,6,2
1089,0,2,2
1090,1,17,3
1091,1,8,1
1092,6,10,5
1093,6,?,?
1094,14,55,27
1095,0,5,0
1096,1,6,2
1097,1,12,2
1098,4,21,2
1099,0,?,?
1100,4,13,2
1101,2,5,0
1102,0,?,?
1103,3,?,?
1104,4,7,9
1105,1,9,16
1106,3,?,?
1107,38,25,14
1108,14,?,?
1109,2,16,3
1110,3,14,3
1111,7,?,?
1112,3,3,2
1113,4,?,?
1114,5,?,?
1115,2,?,?
1116,2,4,2
1117,2,12,2
1118,2,12,2
1119,7,?,?
1120,2,6,1
1121,1,4,3
1122,2,10,2
1123,4,10,3
1124,10,13,7
1125,15,33,115
1126,2,8,3
1127,36,?,?
1128,2,?,?
1129,7,11,4
1130,1,?,?
1131,1,6,1
1132,0,?,?
1133,1,15,0
1134,5,?,?
1135,2,?,?
1136,0,?,?
1137,1,2,1
1138,2,4,2
1139,3,?,?
1140,5,27,6
1141,2,?,?
1142,0,?,?
1143,0,?,?
1144,0,11,3
1145,1,9,5
1146,2,?,?
1147,1,7,2
1148,2,6,0
1149,1,7,2
1150,3,17,7
1151,0,4,1
1152,1,7,3
1153,0,7,1
1154,0,7,1
1155,0,3,0
1156,3,9,3
1157,4,?,?
1158,5,11,19
1159,1,?,?
1160,1,?,?
1161,29,18,5
1162,3,3,3
1163,1,11,2
1164,3,?,?
1165,6,10,2
1166,6,16,12
1167,1,?,?
1168,2,24,1
1169,1,11,3
1170,1,5,17
1171,3,?,?
1172,1,?,?
1173,1,4,4
1174,1,7,8
1175,6,11,27
1176,8,15,3
1177,5,24,6
1178,3,4,2
1179,6,?,?
1180,4,?,?
1181,52,383,152
1182,0,5,2
1183,4,11,1
1184,1,4,0
1185,75,297,97
1186,5,?,?
1187,2,1,0
1188,0,?,?
1189,1,5,1
1190,1,3,4
1191,2,?,?
1192,0,?,?
1193,27,54,54
1194,2,?,?
1195,31,17,12
1196,11,?,?
1197,2,6,0
1198,1,6,2
1199,5,8,3
1200,12,?,?
1201,1,?,?
1202,7,25,12
1203,1,7,1
1204,1,4,5
1205,3,?,?
1206,3,11,13
1207,3,?,?
1208,0,5,3
1209,2,?,?
1210,1,?,?
1211,3,?,?
1212,0,?,?
1213,1,6,1
1214,3,?,?
1215,2,?,?
1216,3,18,3
1217,0,?,?
1218,1,8,1
1219,3,10,4
1220,4,11,1
1221,2,4,4
1222,1,?,?
1223,4,4,5
1224,1,5,2
1225,1,?,?
1226,1,5,1
1227,29,19,171
1228,2,?,?
1229,2,7,9
1230,2,6,2
1231,4,8,2
1232,70,155,23
1233,2,11,6
1234,1,5,0
1235,1,0,1
1236,1,?,?
1237,3,?,?
1238,1,9,1
1239,1,?,?
1240,0,4,0
1241,1,5,0
1242,1,10,1
1243,3,6,6
1244,1,3,1
1245,0,7,0
1246,1,?,?
1247,1,?,?
1248,65,440,147
1249,3,7,4
1250,1,3,0
1251,1,6,2
1252,8,8,8
1253,4,7,0
1254,2,4,0
1255,9,?,?
1256,4,5,1
1257,1,7,1
1258,1,?,?
1259,1,?,?
1260,3,1,1
1261,1,6,0
1262,5,19,9
1263,1,5,3
1264,0,9,4
1265,4,17,2
1266,3,?,?
1267,2,?,?
1268,0,4,0
1269,0,5,1
1270,0,3,0
1271,0,2,1
1272,1,?,?
1273,13,13,31
1274,3,9,1
1275,1,?,?
1276,6,5,7
1277,14,14,5
1278,1,?,?
1279,5,5,0
1280,2,10,4
1281,1,?,?
1282,19,23,23
1283,1,?,?
1284,3,6,2
1285,2,6,1
1286,1,4,0
1287,1,5,2
1288,1,?,?
1289,8,79,38
1290,4,?,?
1291,38,65,151
1292,4,4,1
1293,2,?,?
1294,15,25,125
1295,2,19,37
1296,1,?,?
1297,230,494,210
1298,1,3,3
1299,5,?,?
1300,0,0,0
1301,1,?,?
1302,8,?,?
1303,1,4,0
1304,4,9,3
1305,1,9,3
1306,1,1,0
1307,3,8,2
1308,20,?,?
1309,29,197,23
1310,2,4,1
1311,4,?,?
1312,3,?,?
1313,1,8,3
1314,10,10,2
1315,1,?,?
1316,10,18,89
1317,1,?,?
1318,3,6,19
1319,5,6,11
1320,1,6,0
1321,1,2,1
1322,1,?,?
1323,1,4,3
1324,2,8,3
1325,5,?,?
1326,2,2,1
1327,1,?,?
1328,3,6,3
1329,0,7,0
1330,0,?,?
1331,0,9,1
1332,2,4,1
1333,9,27,86
1334,1,6,1
1335,0,2,1
1336,3,5,4
1337,2,13,3
1338,0,6,1
1339,15,21,10
1340,3,?,?
1341,3,13,5
1342,11,38,11
1343,0,5,5
1344,14,?,?
1345,8,1,4
1346,1,?,?
1347,0,4,0
1348,1,2,0
1349,6,?,?
1350,4,4,3
1351,2,1,3
1352,3,15,6
1353,4,13,5
1354,0,7,3
1355,3,?,?
1356,5,9,0
1357,1,3,0
1358,17,3,5
1359,9,44,27
1360,7,12,2
1361,1,?,?
1362,7,11,1
1363,2,13,1
1364,3,?,?
1365,4,8,3
1366,2,20,6
1367,1,10,7
1368,1,?,?
1369,1,10,7
1370,1,3,1
1371,2,4,3
1372,1,?,?
1373,3,?,?
1374,1,3,1
1375,3,3,4
1376,0,?,?
1377,4,4,6
1378,4,?,?
1379,23,191,64
1380,7,?,?
1381,7,?,?
1382,1,?,?
1383,1,6,1
1384,3,?,?
1385,0,4,2
1386,3,6,0
1387,2,?,?
1388,28,39,8
1389,8,?,?
1390,4,?,?
1391,1,?,?
1392,12,26,9
1393,5,?,?
1394,3,12,3
1395,2,?,?
1396,5,?,?
1397,1,2,1
1398,0,2,1
1399,1,?,?
1400,29,11,13
1401,13,?,?
1402,1,3,2
1403,5,6,1
1404,1,3,1
1405,2,?,?
1406,1,0,2
1407,5,15,13
1408,5,5,0
1409,5,?,?
1410,2,15,8
1411,6,16,2
1412,2,?,?
1413,1,0,1
1414,1,5,2
1415,1,4,1
1416,2,?,?
1417,1,?,?
1418,1,?,?
1419,1,3,4
1420,0,?,?
1421,0,4,0
1422,0,10,3
1423,0,?,?
1424,1,?,?
1425,7,?,?
1426,1,?,?
1427,10,2,0
1428,7,?,?
1429,1,4,1
1430,5,?,?
1431,7,?,?
1432,3,8,0
1433,4,?,?
1434,4,10,1
1435,14,19,6
1436,5,?,?
1437,6,?,?
1438,8,13,3
1439,14,?,?
1440,1,?,?
1441,1,?,?
1442,6,11,2
1443,8,?,?
1444,1,8,2
1445,4,?,?
1446,0,?,?
1447,1,11,7
1448,2,7,4
1449,3,?,?
1450,2,15,0
1451,0,6,1
1452,3,?,?
1453,5,5,1
1454,4,?,?
1455,2,13,4
1456,31,196,70
1457,3,?,?
1458,10,?,?
1459,941,?,?
1460,0,6,0
1461,5,6,2
1462,0,?,?
1463,10,?,?
1464,0,1,0
1465,5,14,3
1466,1,?,?
1467,1,?,?
1468,5,?,?
1469,8,35,6
1470,0,?,?
1471,6,?,?
1472,0,14,4
1473,1,?,?
1474,1,?,?
1475,3,?,?
1476,2,?,?
1477,8,?,?
1478,1,?,?
1479,2,6,4
1480,2,6,2
1481,9,20,9
1482,4,6,2
1483,0,?,?
1484,4,13,3
1485,4,?,?
1486,6,11,7
1487,26,42,16
1488,16,?,?
1489,4,18,3
1490,3,?,?
1491,1,11,3
1492,17,18,2
1493,2,?,?
1494,4,?,?
1495,5,19,5
1496,1,15,4
1497,4,?,?
1498,3,?,?
1499,1,6,1
1500,4,4,0
1501,4,?,?
1502,3,9,1
1503,2,?,?
1504,1,?,?
1505,5,?,?
1506,4,14,3
1507,5,?,?
1508,0,10,0
1509,0,8,0
1510,6,10,5
1511,7,?,?
1512,8,9,3
1513,3,?,?
1514,2,8,6
1515,1,4,1
1516,7,6,4
1517,0,?,?
1518,3,8,3
1519,1,?,?
1520,1,?,?
1521,0,1,1
